timestamp,person1,person2,description,safety_flag,recommendation,pos_count,neg_count,risk_count,repair_signals,warmth,net_score,has_apology,has_plan,risk_areas,reflections,description_length,time_in_day_seconds,analysis_mode,confidence
2025-10-19T12:05:20.596Z,"Anna","Erik","Vi älskar varandra, men på kvällarna bråkar vi om vem som skall lägga barnen.",NORMAL,"Sätt er ner och skapa en tydlig veckoplan för barnens läggningstider.",1,1,3,NO,YES,0,NO,NO,"[""bråk"",""barn"",""barnen""]","[""Barnens behov prioriteras inte tydligt"",""Kommunikationsbrist angående ansvar"",""Möjlig obalans i hushållsansvar""]",77,43520.596,ai,0.8
2025-10-19T12:17:30.879Z,"Kalle","Frida","Vi kommunicerar bra och har börjat planera helger tillsammans",NORMAL,"Fortsätt att kommunicera öppet och planera aktiviteter tillsammans för att stärka banden ytterligare.",1,0,0,MAYBE,NO,1,NO,YES,"[]","[""Relationen utvecklas positivt"",""Kalle och Frida är öppna för samarbete"",""Kommunikationen stärker banden""]",61,44250.879,ai,0.9
2025-10-19T12:28:24.388Z,"Anna","Erik","Vi älskar varandra, men på kvällarna så bråkar vi om vem som skall laga maten.",NORMAL,"Diskutera och planera matlagningen tillsammans för att undvika konflikter.",1,1,1,NO,YES,-1,NO,NO,"[""bråk""]","[""Matlagning orsakar konflikter"",""Kommunikation behöver förbättras"",""Kärleken finns trots allt""]",78,44904.388,ai,0.8
2025-10-19T12:28:59.551Z,"Anna","Erik","Vi älskar varandra, men på kvällarna så bråkar vi om vem som skall laga maten.",NORMAL,"Diskutera och planera en matlagningsschema tillsammans för att undvika konflikter.",1,1,1,NO,YES,-1,NO,NO,"[""bråk""]","[""Matlagning skapar konflikter"",""Kommunikation brister"",""Kärlek finns trots allt""]",78,44939.551,ai,0.8
2025-10-19T12:39:59.794Z,"Anna","Erik","Vi älskar varandra, men vi bråkar ibland om hushållsarbete. I veckan bestämde vi att testa ett enkelt veckoschema",NORMAL,"Fortsätt med veckoschemat och ha regelbundna uppföljningar för att justera efter behov.",1,1,4,MAYBE,YES,-4,NO,YES,"[""bråk"",""schema"",""arbete"",""hushåll""]","[""Kommunikationen om hushållsarbete är positivt steg."",""Veckoschema kan skapa struktur och tydlighet i vardagen."",""Viktigt att fortsätta kommunicera och utvärdera schemat regelbundet.""]",113,45599.794,ai,0.9
2025-10-19T12:47:45.132Z,"Anna","Erik","Vi älskar varandra, men vi bråkar ibland om hushållsarbete. I veckan bestämde vi att testa ett enkelt veckoschema",RISK,"Diskutera och planera regelbundet kring veckoschemat för att se vad som fungerar och justera vid behov.",1,1,4,YES,YES,-4,NO,YES,"[""bråk""]","[""De älskar varandra vilket är positivt."",""Hushållsarbete kan vara en utmaning i relationen."",""Att testa ett veckoschema visar på vilja att lösa konflikter.""]",113,46065.132,ai,0.9
2025-10-19T12:51:29.676Z,"Anna","Erik","Vi älskar varandra, men vi bråkar ibland om hushållsarbete. I veckan bestämde vi att testa ett enkelt veckoschema",RISK,"Fortsätt med att använda veckoschemat och ha regelbundna uppföljningar för att justera efter behov.",1,1,4,YES,YES,-4,NO,YES,"[""bråk"",""ansvar"",""planering"",""schema"",""arbete"",""hushåll""]","[""Kommunikation är nyckeln i relationen"",""Veckoschemat kan skapa tydlighet och förutsägbarhet"",""Hushållsarbete kan vara en källa till konflikter""]",113,46289.676,ai,0.8
2025-10-19T12:58:13.689Z,"Anna","Erik","Vi älskar varandra, men vi bråkar ibland om hushållsarbete. I veckan bestämde vi att testa ett enkelt veckoschema",RISK,"Fortsätt med att regelbundet utvärdera och anpassa veckoschemat tills det passar er båda.",1,1,6,YES,YES,-6,NO,YES,"[""bråk"",""ansvar"",""planering"",""schema"",""arbete"",""hushåll""]","[""Kommunikation om hushållsarbete är viktigt."",""Veckoschema kan skapa struktur och förutsägbarhet."",""Testa olika upplägg för att hitta vad som fungerar.""]",113,46693.689,ai,0.9
2025-10-19T13:00:48.348Z,"Maja","Kim","Jag känner mig ofta rädd hemma. Han blir arg och skriker, ibland kastar saker och säger elaka ord. Jag har börjat sova i vardagsrummet för att undvika konflikter. Jag vet inte längre vad jag ska göra",CAUTION,"Diskutera och planera en säkerhetsplan med stöd från en professionell. Överväg att kontakta en skyddad boende.",0,1,1,NO,NO,-2,NO,NO,"[""konflikt""]","[""Relationen präglas av rädsla och konflikter"",""Maja känner sig otrygg och undviker hemmet"",""Kims agerande är skadligt och respektlöst""]",199,46848.348,ai,0.9
2025-10-19T13:18:25.721Z,"Maja","Kim","Jag känner mig ofta rädd hemma. Han blir arg och skriker, ibland kastar saker och säger elaka ord. Jag har börjat sova i vardagsrummet för att undvika konflikter. Jag vet inte längre vad jag ska göra.",DANGER,"Diskutera och planera att söka stöd från en terapeut eller kvinnojour för att skapa trygghet och hitta långsiktiga lösningar.",0,1,3,NO,NO,-4,NO,NO,"[""konflikt"",""trygghet"",""våld""]","[""Kim visar aggressivt beteende."",""Maja känner sig rädd och undviker konflikter."",""Relationen präglas av rädsla och spänning.""]",200,47905.721,ai,0.9
